TRIAL_SESSION	TRIAL_INDEX_ENCODING	TRIAL_WORD_ENCODING	TRIAL_CONDITION_ENCODING	TRIAL_COLOUR_ENCODING	TRIAL_INDEX_RECOG	wordrecog_1	condition_1	correctanswer_1	KEYPRESS_RECOG	RT_RECOG
4	1	STOCK	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	2	SCENE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	3	WORLD	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	4	MIGHT	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	5	STAND	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	6	LEVEL	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	7	TRUCK	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	8	SHARP	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	9	SPEED	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	10	PEACE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	11	FIGHT	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	12	STUDY	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	13	UPPER	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	14	ROUND	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	15	LATIN	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	16	TRUST	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	17	STYLE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	18	WHITE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	19	REACH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	20	WATCH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	21	STORY	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	22	START	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	23	STAGE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	24	MARCH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	25	STAFF	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	26	FORCE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	27	SIGHT	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	28	TITLE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	29	STILL	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	30	MEANS	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	31	SWEET	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	32	PRESS	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	33	PIECE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	34	EARTH	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	35	RIVER	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	36	DRIVE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	37	INDEX	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	38	DROVE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	39	SHAPE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	40	MONTH	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	41	DOZEN	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	42	TASTE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	43	TABLE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	44	STORE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	45	SHARE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	46	MUSIC	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	47	FIELD	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	48	GRASS	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	49	WHEEL	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	50	HOTEL	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	51	LEAVE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	52	FLESH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	53	TODAY	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	54	PHASE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	55	SCALE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	56	THICK	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	57	SPOKE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	58	PRICE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	59	RANGE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	60	THIRD	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	61	LOOSE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	62	DREAM	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	63	ENEMY	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	64	SENSE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	65	WRONG	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	66	BLOOD	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	67	SMITH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	68	MOTOR	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	69	TOTAL	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	70	FLOOR	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	71	MOUTH	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	72	KNIFE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	73	MONEY	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	74	RIGHT	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	75	WHILE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	76	HORSE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	77	EMPTY	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	78	UNDER	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	79	UNCLE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	80	DRINK	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	80	DRINK	Aloud	Green	1	LATIN	old	m	m	2520
4	80	DRINK	Aloud	Green	2	EQUAL	new	n	n	1195
