study_word	study_cue	study_instruction
JUNIOR	Check.png	check
IMPULSE	Exes.png	silent
SURPRISE	Check.png	check
HARVEST	Plus.png	prod
CREST	Exes.png	silent
CURSE	Check.png	check
WRONG	Exes.png	silent
QUARTER	Check.png	check
FUTURE	Check.png	check
DESIRE	Check.png	check
GRADIENT	Plus.png	prod
UTILITY	Exes.png	silent
QUIET	Exes.png	silent
GLOBE	Check.png	check
DEPOT	Plus.png	prod
GOLF	Plus.png	prod
YIELD	Exes.png	silent
TALK	Check.png	check
KNIGHT	Exes.png	silent
GENIUS	Check.png	check
GATE	Plus.png	prod
NOISE	Plus.png	prod
ELITE	Check.png	check
GATHER	Exes.png	silent
ZERO	Exes.png	silent
GENERAL	Exes.png	silent
VENT	Plus.png	prod
JUMP	Plus.png	prod
GHOST	Plus.png	prod
ABANDON	Check.png	check
IRONY	Plus.png	prod
CANDY	Plus.png	prod
PROSE	Plus.png	prod
HAIR	Check.png	check
USAGE	Plus.png	prod
GOSPEL	Check.png	check
EDITION	Exes.png	silent
ELBOW	Check.png	check
PARK	Check.png	check
QUALITY	Plus.png	prod
VACUUM	Check.png	check
PASTE	Check.png	check
NECK	Exes.png	silent
CUSTOMER	Exes.png	silent
DEFEAT	Plus.png	prod
MUSCLE	Exes.png	silent
QUESTION	Plus.png	prod
FRUIT	Plus.png	prod
DEPTH	Check.png	check
RAID	Exes.png	silent
ZINC	Plus.png	prod
ITEM	Check.png	check
ANIMAL	Plus.png	prod
OCEAN	Check.png	check
NAME	Plus.png	prod
DEAN	Plus.png	prod
JOURNAL	Check.png	check
DECADE	Check.png	check
GUEST	Check.png	check
TALENT	Exes.png	silent
ADVICE	Check.png	check
VEHICLE	Check.png	check
INCOME	Exes.png	silent
LABEL	Plus.png	prod
WRITING	Plus.png	prod
LAMP	Exes.png	silent
SWIFT	Exes.png	silent
NEUTRAL	Check.png	check
FRONT	Plus.png	prod
MORAL	Exes.png	silent
SYSTEM	Check.png	check
DELAY	Plus.png	prod
GRADE	Plus.png	prod
INPUT	Check.png	check
MYSTERY	Plus.png	prod
TAIL	Plus.png	prod
OPINION	Plus.png	prod
LENS	Exes.png	silent
ONION	Check.png	check
DEAR	Exes.png	silent
ECONOMY	Check.png	check
DENTAL	Check.png	check
INFANT	Exes.png	silent
CASH	Plus.png	prod
JOINT	Exes.png	silent
JAZZ	Check.png	check
LACK	Exes.png	silent
MOUTH	Check.png	check
DETAIL	Plus.png	prod
DESIGN	Exes.png	silent
ACADEMY	Exes.png	silent
WOOD	Check.png	check
FUND	Check.png	check
AMOUNT	Plus.png	prod
ZONE	Exes.png	silent
NARROW	Exes.png	silent
REAL	Plus.png	prod
UNIT	Check.png	check
DEBUT	Check.png	check
GROUND	Exes.png	silent
MYTH	Exes.png	silent
MONUMENT	Exes.png	silent
ILLUSION	Plus.png	prod
LATIN	Plus.png	prod
OPERA	Plus.png	prod
DEAL	Exes.png	silent
VARIABLE	Plus.png	prod
EDGE	Exes.png	silent
ACTOR	Plus.png	prod
QUOTE	Exes.png	silent
WISE	Plus.png	prod
FRAME	Check.png	check
UPRIGHT	Check.png	check
KNOCK	Exes.png	silent
JUSTICE	Exes.png	silent
GIANT	Exes.png	silent
ADDITION	Plus.png	prod
LAUNCH	Exes.png	silent
NATION	Exes.png	silent
JEAN	Check.png	check
