study_word	study_cue	study_instruction
VECTOR	Plus.png	prod
PASSION	Plus.png	prod
GRADIENT	Exes.png	silent
CUSTOMER	Check.png	check
EQUAL	Plus.png	prod
ACTOR	Exes.png	silent
LAWN	Plus.png	prod
HARVEST	Exes.png	silent
NECK	Check.png	check
EDITION	Check.png	check
JOINT	Check.png	check
AMOUNT	Exes.png	silent
GAZE	Plus.png	prod
LAUNCH	Check.png	check
RAIL	Plus.png	prod
WOOL	Plus.png	prod
DEAL	Check.png	check
DETAIL	Exes.png	silent
TALENT	Check.png	check
MOVE	Plus.png	prod
GROUND	Check.png	check
GRADE	Exes.png	silent
WRITING	Exes.png	silent
DICE	Plus.png	prod
GRASS	Plus.png	prod
MORAL	Check.png	check
NAME	Exes.png	silent
PROSE	Exes.png	silent
ILLUSION	Exes.png	silent
RABBIT	Plus.png	prod
GOLF	Exes.png	silent
IRONY	Exes.png	silent
ZINC	Exes.png	silent
GAIN	Plus.png	prod
CURRENT	Plus.png	prod
CROP	Plus.png	prod
WRONG	Check.png	check
CANDY	Exes.png	silent
KNIGHT	Check.png	check
LIFT	Plus.png	prod
ZERO	Check.png	check
DEPOT	Exes.png	silent
FRUIT	Exes.png	silent
DESIGN	Check.png	check
USAGE	Exes.png	silent
VENT	Exes.png	silent
MUSCLE	Check.png	check
JUDGE	Plus.png	prod
VARIABLE	Exes.png	silent
ACADEMY	Check.png	check
ACID	Plus.png	prod
HANDLE	Plus.png	prod
LABEL	Exes.png	silent
KITCHEN	Plus.png	prod
JUSTICE	Check.png	check
DEAN	Exes.png	silent
ADDITION	Exes.png	silent
OFFICER	Plus.png	prod
JURY	Plus.png	prod
CURRENCY	Plus.png	prod
LEAD	Plus.png	prod
REAL	Exes.png	silent
ANIMAL	Exes.png	silent
WISE	Exes.png	silent
LAUGH	Plus.png	prod
TAIL	Exes.png	silent
KNOCK	Check.png	check
ABSTRACT	Plus.png	prod
INDEX	Plus.png	prod
UPPER	Plus.png	prod
QUIET	Check.png	check
QUOTE	Check.png	check
ABSENCE	Plus.png	prod
INTERVAL	Plus.png	prod
OPERA	Exes.png	silent
LENS	Check.png	check
OPINION	Exes.png	silent
GATHER	Check.png	check
UTILITY	Check.png	check
LACK	Check.png	check
MYTH	Check.png	check
LATIN	Exes.png	silent
ORDER	Plus.png	prod
JUMP	Exes.png	silent
URGENCY	Plus.png	prod
LAMP	Check.png	check
NERVE	Plus.png	prod
YARN	Plus.png	prod
MYSTERY	Exes.png	silent
MONUMENT	Check.png	check
SWIFT	Check.png	check
YIELD	Check.png	check
PAPER	Plus.png	prod
RAID	Check.png	check
EDGE	Check.png	check
DEFEAT	Exes.png	silent
JOURNEY	Plus.png	prod
ZONE	Check.png	check
IMPULSE	Check.png	check
ELEVATOR	Plus.png	prod
DELAY	Exes.png	silent
QUESTION	Exes.png	silent
CASH	Exes.png	silent
NARROW	Check.png	check
NATION	Check.png	check
DEAR	Check.png	check
FRONT	Exes.png	silent
INCOME	Check.png	check
INFANT	Check.png	check
CREST	Check.png	check
TACTICS	Plus.png	prod
NOISE	Exes.png	silent
GIANT	Check.png	check
GENERAL	Check.png	check
KIND	Plus.png	prod
CURTAIN	Plus.png	prod
GHOST	Exes.png	silent
RACE	Plus.png	prod
QUALITY	Exes.png	silent
GATE	Exes.png	silent
