study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
JUNIOR	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
IMPULSE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
SURPRISE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
HARVEST	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
CREST	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
CURSE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
WRONG	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
QUARTER	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
FUTURE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DESIRE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GRADIENT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
UTILITY	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
QUIET	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GLOBE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DEPOT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GOLF	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
YIELD	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
TALK	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
