study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
GOSSIP	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
EQUAL	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
DEPOT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
HANDLE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
RAIN	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
CURTAIN	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
USAGE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
LIFT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ACTOR	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ACID	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
LAWN	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
NEEDLE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
TABLE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
CASH	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
FAIR	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
