study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
JUDGE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
TAIL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
MONUMENT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
DICE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
CURTAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
LAUNCH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
DETAIL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
HARVEST	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
PASSION	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
MYTH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
USAGE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
GHOST	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
QUESTION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
RAID	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
LAWN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
CURRENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
GOLF	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
TALENT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
KIND	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
OPERA	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
INFANT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
ACADEMY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
KNOCK	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
NAME	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
PAPER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
TACTICS	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
ACTOR	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
DELAY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
GENERAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
JOURNEY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
VARIABLE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
UTILITY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
UPPER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
JUMP	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
ACID	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
MOVE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
LABEL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
ORDER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
INDEX	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
EDITION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
VENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
ABSENCE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
WRITING	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
OFFICER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
HANDLE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
DEPOT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
LENS	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
FRONT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
JUSTICE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
ILLUSION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
ZINC	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
GAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
LAMP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
SWIFT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
LAUGH	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
DESIGN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
REAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
YIELD	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
CASH	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
QUALITY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
