study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
JUSTICE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
DESIGN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
IRONY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
MYSTERY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
KIND	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
GRADE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
LIFT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
PROSE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
OPERA	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
WISE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
UPPER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
ABSENCE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
QUESTION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
YARN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
DEPOT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
CURRENT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
ZINC	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
