study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
ORDER	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
QUALITY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
NAME	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
CANDY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
GHOST	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
FRONT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
RACE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
SYMPHONY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
INDEX	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
REAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
URGENCY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
LEMON	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
TANK	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
RAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
ACID	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
SURFACE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
ABSENCE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
